MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1123069056697,15.98,0.07,209.10648,25.25651,53470.32346,0
1123069056697,15.95,0.07,209.10646,25.25647,53470.33163,0
1123069056697,15.96,0.07,209.10650,25.25648,53470.33981,0
1123069056697,15.97,0.07,209.10652,25.25654,53470.34792,0
1123069056697,15.94,0.07,209.10646,25.25655,53490.29863,0
1123069056697,15.92,0.07,209.10644,25.25651,53490.30787,0
1123069056697,15.93,0.07,209.10644,25.25651,53490.31710,0
1123069056697,15.91,0.07,209.10649,25.25652,53490.32638,0
1123069056697,15.94,0.07,209.10647,25.25654,53557.19476,0
1123069056697,15.94,0.07,209.10647,25.25650,53557.20077,0
1123069056697,15.98,0.07,209.10642,25.25654,53557.20673,0
1123069056697,15.98,0.07,209.10648,25.25651,53557.21267,0
1123069056697,16.04,0.07,209.10647,25.25659,53567.17594,0
1123069056697,16.05,0.07,209.10651,25.25659,53567.18351,0
1123069056697,16.12,0.07,209.10632,25.25668,53567.19109,0
1123069056697,15.94,0.07,209.10650,25.25661,53567.19867,0
1123069056697,15.91,0.07,209.10647,25.25651,53551.19906,0
1123069056697,15.95,0.07,209.10646,25.25649,53551.20705,0
1123069056697,15.95,0.07,209.10651,25.25651,53551.21515,0
1123069056697,15.95,0.07,209.10648,25.25654,53551.22319,0
1123069056697,15.94,0.07,209.10648,25.25654,53506.25409,0
1123069056697,15.99,0.07,209.10639,25.25656,53506.26174,0
1123069056697,15.95,0.07,209.10647,25.25657,53506.26943,0
1123069056697,15.96,0.07,209.10643,25.25657,53506.27712,0
1123069056697,15.96,0.07,209.10648,25.25652,53834.44037,0
1123069056697,16.04,0.07,209.10644,25.25653,53834.44400,0
1123069056697,16.06,0.07,209.10642,25.25655,53834.44761,0
1123069056697,16.00,0.07,209.10640,25.25655,53834.45123,0
1123069056697,16.00,0.07,209.10641,25.25653,53851.19266,0
1123069056697,15.99,0.07,209.10643,25.25657,53851.20211,0
1123069056697,15.98,0.07,209.10641,25.25648,53851.21165,0
1123069056697,15.94,0.07,209.10648,25.25647,53851.22116,0
1123069056697,16.01,0.07,209.10644,25.25653,53793.48776,0
1123069056697,15.99,0.07,209.10643,25.25646,53793.49497,0
1123069056697,16.03,0.07,209.10645,25.25650,53793.50222,0
1123069056697,16.05,0.07,209.10644,25.25652,53793.50950,0
1123069056697,15.69,0.11,209.10655,25.25684,53900.32594,0
